,zbl_id
0,12.30702
1,35.30302
2,38.01202
3,40.16802
4,45.26003
5,47.03402
6,52.03101
7,63.00402
8,75.24305
9,82.37701
10,83.17401
11,117.02302
12,118.26104
13,122.25001
14,137.02001
15,138.02501
16,141.30503
17,142.24803
18,144.23302
19,145.04503
20,145.19302
21,146.06402
22,153.07403
23,166.04103
24,168.20903
25,175.03601
26,176.28302
27,185.49202
28,186.56802
29,206.02703
30,206.19002
31,211.06601
32,212.5281
33,247.13001
34,267.05002
35,277.02008
36,284.05106
37,284.16001
38,285.16031
39,313.13013
40,332.06001
41,345.02018
42,383.12001
43,397.68011
44,422.13012
45,432.14013
46,434.47001
47,452.06001
48,452.6805
49,457.03001
50,459.18006
51,483.10001
52,495.18008
53,539.14017
54,561.06006
55,567.54001
56,576.14026
57,577.14016
58,579.10029
59,595.05001
60,595.12006
61,606.51001
62,613.17012
63,617.58009
64,622.46001
65,624.18007
66,667.0303
67,675.03039
68,684.54001
69,694.16001
70,712.11001
71,719.12001
72,743.46015
73,744.03037
74,763.03008
75,772.1301
76,784.18001
77,793.18006
78,795.18007
79,803.18001
80,806.68082
81,808.17003
82,819.04002
83,822.18001
84,823.1107
85,823.68059
86,837.55001
87,843.18001
88,858.05001
89,860.18006
90,868.05001
91,871.16001
92,873.03036
93,874.11002
94,874.49001
95,882.1801
96,911.16001
97,911.18001
98,917.54001
99,920.05026
100,925.00005
101,944.60003
102,948.11023
103,951.54001
104,956.11021
105,959.06001
106,966.11047
107,969.1801
108,972.11002
109,983.17001
110,984.00001
111,992.14001
112,1002.06001
113,1009.18005
114,1019.16032
115,1027.05082
116,1045.05055
117,1053.54016
118,1058.90049
119,1070.11045
120,1071.18001
121,1071.91002
122,1086.18001
123,1100.13026
124,1116.18005
125,1118.13001
126,1118.18001
127,1120.28001
128,1126.68447
129,1128.16015
130,1149.18009
131,1159.05002
132,1159.11001
133,1165.28001
134,1166.28001
135,1175.18001
136,1179.00001
137,1182.13003
138,1191.6816
139,1194.11005
140,1195.55001
141,1209.18001
142,1214.11075
143,1218.81023
144,1221.11026
145,1221.13036
146,1223.11144
147,1229.26003
148,1231.06018
149,1233.06001
150,1245.03002
151,1247.05003
152,1254.05002
153,1263.13014
154,1273.19001
155,1279.05013
156,1292.28002
157,1304.15001
158,1305.08007
159,1331.05052
160,1348.18001
161,1365.18001
162,1366.46001
163,1376.60003
164,1387.46001
165,1390.14055
166,1407.68432
167,1419.18001
168,1422.11243
169,1423.30002
170,1430.18008
171,1430.60005
172,1437.17016
173,1452.18008
174,1468.11001
175,1476.20001
176,1478.60001
177,1505.60004
178,1530.54022
